SchoolName,Type,MotherTongue
Fengshan Primary School,Higher,Tamil
Fairfield Methodist School (Primary) - Affiliated,Regular,Chinese
Fairfield Methodist School (Primary) - Affiliated,Higher,Chinese
Fairfield Methodist School (Primary) - Affiliated,Regular,Malay
Fairfield Methodist School (Primary) - Affiliated,Regular,Tamil
Fairfield Methodist School (Primary) - Affiliated,Higher,Tamil
Queenstown Primary School,Regular,Chinese
Queenstown Primary School,Higher,Chinese
Queenstown Primary School,Regular,Malay
Queenstown Primary School,Higher,Malay
Queenstown Primary School,Regular,Tamil
Queenstown Primary School,Higher,Tamil
Xinghua Primary School,Regular,Chinese
Xinghua Primary School,Higher,Chinese
Xinghua Primary School,Regular,Malay
Xinghua Primary School,Higher,Malay
Xinghua Primary School,Regular,Tamil
Xinghua Primary School,Higher,Tamil
Changkat Primary School,Regular,Chinese
Changkat Primary School,Higher,Chinese
Changkat Primary School,Regular,Malay
Changkat Primary School,Higher,Malay
Changkat Primary School,Regular,Tamil
Changkat Primary School,Higher,Tamil
Fuhua Primary School,Regular,Chinese
Fuhua Primary School,Higher,Chinese
Fuhua Primary School,Regular,Malay
Fuhua Primary School,Higher,Malay
Fuhua Primary School,Regular,Tamil
Fuhua Primary School,Higher,Tamil
Xingnan Primary School,Regular,Chinese
Xingnan Primary School,Higher,Chinese
Xingnan Primary School,Regular,Malay
Xingnan Primary School,Higher,Malay
Xingnan Primary School,Regular,Tamil
Xingnan Primary School,Higher,Tamil
Zhangde Primary School,Regular,Chinese
Zhangde Primary School,Higher,Chinese
Zhangde Primary School,Regular,Malay
Zhangde Primary School,Higher,Malay
Zhangde Primary School,Regular,Tamil
Zhangde Primary School,Higher,Tamil
Teck Whye Primary School,Regular,Chinese
Teck Whye Primary School,Higher,Chinese
Teck Whye Primary School,Regular,Malay
Teck Whye Primary School,Higher,Malay
Teck Whye Primary School,Regular,Tamil
Teck Whye Primary School,Higher,Tamil
Casuarina Primary School,Regular,Chinese
Casuarina Primary School,Higher,Chinese
Casuarina Primary School,Regular,Malay
Casuarina Primary School,Regular,Tamil
Beacon Primary School,Regular,Chinese
Beacon Primary School,Higher,Chinese
Beacon Primary School,Regular,Malay
Beacon Primary School,Higher,Malay
Beacon Primary School,Regular,Tamil
Beacon Primary School,Higher,Tamil
Mee Toh School - Affiliated,Regular,Chinese
Mee Toh School - Affiliated,Higher,Chinese
Mee Toh School - Affiliated,Regular,Malay
Nan Hua Primary School,Regular,Chinese
Nan Hua Primary School,Higher,Chinese
Edgefield Primary School,Regular,Chinese
Edgefield Primary School,Higher,Chinese
Edgefield Primary School,Higher,Malay
Edgefield Primary School,Regular,Tamil
Edgefield Primary School,Higher,Tamil
Kuo Chuan Presbyterian Primary School - Affiliated,Regular,Chinese
Kuo Chuan Presbyterian Primary School - Affiliated,Higher,Chinese
Kuo Chuan Presbyterian Primary School - Affiliated,Regular,Malay
Kuo Chuan Presbyterian Primary School - Affiliated,Higher,Malay
Kuo Chuan Presbyterian Primary School - Affiliated,Regular,Tamil
Kuo Chuan Presbyterian Primary School - Affiliated,Higher,Tamil
"CHIJ (Kellock) - Girls only, Affiliated",Regular,Chinese
"CHIJ (Kellock) - Girls only, Affiliated",Higher,Chinese
"CHIJ (Kellock) - Girls only, Affiliated",Regular,Malay
"CHIJ (Kellock) - Girls only, Affiliated",Higher,Malay
"CHIJ (Kellock) - Girls only, Affiliated",Regular,Tamil
"CHIJ (Kellock) - Girls only, Affiliated",Higher,Tamil
"Anglo-Chinese School (Primary) - Boys only, Affiliated",Regular,Chinese
"Anglo-Chinese School (Primary) - Boys only, Affiliated",Higher,Chinese
"Anglo-Chinese School (Primary) - Boys only, Affiliated",Regular,Malay
"Anglo-Chinese School (Primary) - Boys only, Affiliated",Regular,Tamil
"Anglo-Chinese School (Primary) - Boys only, Affiliated",Higher,Tamil
Nanyang Primary School - Affiliated,Regular,Chinese
Nanyang Primary School - Affiliated,Higher,Chinese
Bukit View Primary School,Regular,Chinese
Bukit View Primary School,Higher,Chinese
Bukit View Primary School,Regular,Malay
Bukit View Primary School,Higher,Malay
Bukit View Primary School,Regular,Tamil
Bukit View Primary School,Higher,Tamil
West Grove Primary School,Regular,Chinese
West Grove Primary School,Regular,Malay
West Grove Primary School,Regular,Tamil
North Vista Primary School,Regular,Chinese
North Vista Primary School,Regular,Malay
North Vista Primary School,Regular,Tamil
St. Anthony’s Primary School - Affiliated,Regular,Chinese
St. Anthony’s Primary School - Affiliated,Higher,Chinese
St. Anthony’s Primary School - Affiliated,Regular,Malay
St. Anthony’s Primary School - Affiliated,Higher,Malay
St. Anthony’s Primary School - Affiliated,Regular,Tamil
St. Anthony’s Primary School - Affiliated,Higher,Tamil
Woodgrove Primary School,Regular,Chinese
Woodgrove Primary School,Higher,Chinese
Woodgrove Primary School,Regular,Malay
Woodgrove Primary School,Higher,Malay
Woodgrove Primary School,Regular,Tamil
Woodgrove Primary School,Higher,Tamil
Princess Elizabeth Primary School,Regular,Chinese
Princess Elizabeth Primary School,Higher,Chinese
Princess Elizabeth Primary School,Regular,Malay
Princess Elizabeth Primary School,Higher,Malay
Princess Elizabeth Primary School,Regular,Tamil
Princess Elizabeth Primary School,Higher,Tamil
Keming Primary School,Regular,Chinese
Keming Primary School,Higher,Chinese
Keming Primary School,Regular,Malay
Keming Primary School,Higher,Malay
Keming Primary School,Regular,Tamil
Keming Primary School,Higher,Tamil
"CHIJ St. Nicholas Girls’ School - Girls only, Affiliated",Regular,Chinese
"CHIJ St. Nicholas Girls’ School - Girls only, Affiliated",Higher,Chinese
Telok Kurau Primary School,Regular,Chinese
Telok Kurau Primary School,Higher,Chinese
Telok Kurau Primary School,Regular,Malay
Telok Kurau Primary School,Higher,Malay
Telok Kurau Primary School,Regular,Tamil
Telok Kurau Primary School,Higher,Tamil
Red Swastika School,Regular,Chinese
Red Swastika School,Higher,Chinese
Cantonment Primary School,Regular,Chinese
Cantonment Primary School,Higher,Chinese
Cantonment Primary School,Regular,Malay
Cantonment Primary School,Higher,Malay
Cantonment Primary School,Regular,Tamil
Cantonment Primary School,Higher,Tamil
Jiemin Primary School,Regular,Chinese
Jiemin Primary School,Higher,Chinese
Jiemin Primary School,Regular,Malay
Jiemin Primary School,Higher,Malay
Jiemin Primary School,Regular,Tamil
Jiemin Primary School,Higher,Tamil
